doc_id,count_words,count_sentences,count_pos,count_neg,calculate_words,calculate_sentences,calculate_pos,calculate_neg
1,182,6,7,13,182,6,143.0,252.5
2,5,1,0,1,5,1,0,4
3,13,1,0,1,13,1,0.0,36.0
4,567,16,9,10,567,16,396.0,168.0
5,23,1,0,1,23,1,0,7
6,5,1,0,1,5,1,0.0,64.0
7,71,5,6,5,71,5,86.0,87.0
8,1,1,0,0,1,1,0,0
9,31,1,1,2,31,1,0.0,48.0
10,16,1,0,2,16,1,0.0,36.0
11,9,1,0,0,9,1,0,0
12,5,1,0,0,5,1,0,0
13,41,1,0,5,41,1,0,105
14,20,2,0,0,20,2,0,0
15,25,1,3,3,25,1,33,61
16,33,2,3,1,33,2,39.0,135.0
17,67,3,2,6,67,3,43.0,86.0
18,20,1,4,1,20,1,48,11
19,12,1,0,1,12,1,0,6
20,27,1,0,2,27,1,0,32
21,15,1,0,0,15,1,0,0
22,90,1,3,2,90,1,-47.0,173.0
23,12,1,1,1,12,1,14.0,1.0
24,8,1,1,0,8,1,5,0
25,1,1,0,1,1,1,0,1
26,6,1,0,1,6,1,0,6
27,304,19,27,31,304,19,422.0,646.0
28,6,1,0,0,6,1,0,0
29,6,1,0,0,6,1,0,0
30,22,1,2,0,22,1,22.0,0.0
31,22,1,0,0,22,1,0,0
32,39,1,0,2,39,1,0,56
33,4,1,0,0,4,1,0,0
34,141,5,7,10,141,5,350.0,342.0
35,26,4,0,2,26,4,0,10
36,24,2,0,1,24,2,0.0,12.0
37,61,1,1,1,61,1,0.0,85.0
38,51,1,6,4,51,1,130.0,84.0
39,14,1,2,2,14,1,16,3
40,14,1,3,0,14,1,19,0
41,5,1,1,1,5,1,2,3
42,45,4,1,3,45,4,7,15
43,20,1,2,2,20,1,-6.0,57.0
44,5,1,0,0,5,1,0,0
45,113,3,14,5,113,3,348.0,267.0
46,12,1,2,0,12,1,13,0
47,12,1,2,1,12,1,31.0,3.0
48,37,2,2,2,37,2,17.0,11.5
49,18,1,0,1,18,1,0,9
50,6,1,0,0,6,1,0,0
51,7,1,0,3,7,1,0,11
52,46,1,11,1,46,1,159.0,44.0
53,11,1,0,0,11,1,0,0
54,41,1,2,2,41,1,90.0,0.0
55,17,2,0,0,17,2,0,0
56,1,1,0,0,1,1,0,0
57,13,3,0,0,13,3,0,0
58,53,1,10,4,53,1,330.0,218.0
59,22,2,1,1,22,2,8,1
60,1,1,0,0,1,1,0,0
61,18,1,0,0,18,1,0,0
62,62,1,3,4,62,1,145.0,91.0
63,8,1,1,0,8,1,8,0
64,12,1,0,0,12,1,0,0
65,41,4,0,4,41,4,0.0,25.0
66,3,1,1,0,3,1,3,0
67,11,1,0,1,11,1,0,7
68,29,1,5,2,29,1,48,13
69,21,1,0,0,21,1,0,0
70,3,1,0,0,3,1,0,0
71,35,1,1,2,35,1,3.0,38.0
72,33,2,6,1,33,2,135.0,9.0
73,6,1,0,0,6,1,0,0
74,23,1,0,2,23,1,0.0,-7.0
75,5,1,0,2,5,1,0.0,14.0
76,11,1,0,0,11,1,0,0
77,32,1,0,6,32,1,0.0,138.0
78,80,3,9,4,80,3,182.0,233.0
79,5,1,0,1,5,1,0.0,9.0
80,12,1,1,1,12,1,10,9
81,20,1,2,2,20,1,-6.0,-1.0
82,4,1,0,1,4,1,0,3
83,51,1,2,3,51,1,43.0,418.0
84,21,1,0,1,21,1,0,16
85,58,1,1,6,58,1,4.0,389.0
86,21,1,0,2,21,1,0,22
87,6,1,0,1,6,1,0.0,15.0
88,16,1,2,0,16,1,23,0
89,28,1,0,1,28,1,0,12
90,20,1,0,1,20,1,0.0,16.0
91,5,1,1,0,5,1,4,0
92,3,1,0,0,3,1,0,0
93,12,1,0,2,12,1,0.0,16.0
94,136,11,14,3,136,11,130.0,20.0
95,9,1,1,0,9,1,5,0
96,18,1,4,0,18,1,43,0
97,50,1,9,2,50,1,216.0,15.5
98,6,1,1,0,6,1,3.0,0.0
99,23,2,2,1,23,2,15,1
100,3,1,0,1,3,1,0,2
101,9,2,0,0,9,2,0,0
102,7,1,0,1,7,1,0,1
103,8,1,0,3,8,1,0,12
104,8,1,0,0,8,1,0,0
105,23,1,0,0,23,1,0,0
106,5,1,0,2,5,1,0.0,15.0
107,6,1,0,0,6,1,0,0
108,29,1,0,2,29,1,0.0,26.0
109,12,1,0,0,12,1,0,0
