doc_id,words,sentences,ºÃ,ÀÖ,°§,Å­,¾å,¶ñ,¾ª
1,182,7,1,2,1,2,4,3,0
2,5,1,0,0,0,0,0,1,0
3,13,1,0,0,1,0,0,0,0
4,567,16,2,6,0,0,0,6,0
5,23,1,1,0,0,0,0,0,0
6,5,1,0,0,0,0,0,1,0
7,71,5,0,0,1,0,0,1,0
8,1,1,0,0,0,0,0,0,0
9,31,1,0,0,0,0,0,2,0
10,16,1,0,0,1,0,0,0,0
11,9,1,1,0,0,0,0,0,0
12,5,1,0,0,0,0,0,0,0
13,41,2,0,1,1,0,0,1,0
14,20,2,0,0,0,0,0,0,0
15,25,1,0,0,0,0,0,1,0
16,33,2,2,0,0,0,0,1,0
17,67,3,1,0,2,0,0,2,0
18,20,1,1,0,0,0,0,1,0
19,12,1,0,0,1,0,0,0,0
20,27,1,1,0,0,0,0,1,0
21,15,1,0,0,0,0,0,0,0
22,90,1,2,0,0,0,0,1,0
23,12,1,0,1,0,0,0,0,0
24,8,1,0,0,0,0,0,0,0
25,1,1,0,0,1,0,0,0,0
26,6,1,0,0,1,0,0,0,0
27,304,20,8,5,7,0,3,14,0
28,6,2,0,0,0,0,0,0,0
29,6,2,0,0,0,0,0,0,0
30,22,1,0,0,0,0,0,0,0
31,22,1,0,0,0,0,0,0,0
32,39,2,0,0,2,0,2,0,0
33,4,1,0,0,0,0,0,0,0
34,141,6,4,1,2,0,0,6,0
35,26,5,0,0,1,0,0,0,0
36,24,2,0,0,0,0,0,0,0
37,61,1,1,0,0,0,0,3,0
38,51,1,0,0,0,0,0,3,0
39,14,1,0,0,0,0,1,1,0
40,14,1,0,0,0,0,0,0,0
41,5,2,1,0,0,0,0,0,0
42,45,4,1,0,0,0,0,2,0
43,20,1,1,0,0,0,0,2,0
44,5,1,0,0,0,0,0,0,0
45,113,3,2,1,11,0,0,1,0
46,12,1,2,0,0,0,0,0,0
47,12,1,1,0,0,0,0,1,1
48,37,2,0,0,1,0,0,0,0
49,18,1,0,0,0,0,0,1,0
50,6,1,1,0,1,0,0,0,0
51,7,1,0,0,0,0,0,2,0
52,46,1,2,1,0,0,0,1,0
53,11,1,0,0,0,0,0,0,0
54,41,1,2,0,0,0,0,1,0
55,17,3,0,0,0,0,0,0,0
56,1,1,0,0,0,0,0,0,0
57,13,4,0,0,0,0,0,0,0
58,53,1,0,1,1,0,0,1,0
59,22,2,0,0,0,0,0,1,0
60,1,1,0,0,0,0,0,0,0
61,18,1,0,0,0,0,0,0,0
62,62,1,0,0,1,0,0,2,0
63,8,1,1,0,0,0,0,0,0
64,12,1,0,0,0,0,0,0,0
65,41,4,0,0,1,0,0,0,0
66,3,1,0,0,0,0,0,0,0
67,11,1,0,0,0,0,0,2,0
68,29,1,0,0,1,0,0,0,0
69,21,1,0,0,0,0,0,0,0
70,3,1,0,1,0,0,0,0,0
71,35,2,0,0,0,0,0,0,0
72,33,2,3,0,0,0,0,0,0
73,6,1,0,0,0,0,0,0,0
74,23,1,0,0,0,0,0,0,0
75,5,1,0,0,2,0,0,0,0
76,11,1,1,0,0,0,0,0,0
77,32,1,1,0,1,0,0,4,0
78,80,3,2,0,0,0,0,3,0
79,5,1,0,0,0,0,0,1,0
80,12,1,0,0,1,0,0,0,0
81,20,2,2,0,0,1,0,2,0
82,4,1,0,0,0,0,0,1,0
83,51,2,1,1,0,0,0,2,0
84,21,2,0,0,0,0,0,1,0
85,58,1,1,0,1,0,0,2,0
86,21,1,0,0,1,0,0,0,0
87,6,1,0,0,0,0,0,1,0
88,16,1,0,0,0,0,0,0,0
89,28,2,0,0,0,0,0,0,0
90,20,1,0,0,0,0,0,1,0
91,5,1,0,0,0,0,0,0,0
92,3,1,0,0,0,0,0,0,0
93,12,1,0,0,0,0,0,2,0
94,136,12,4,2,0,0,0,1,0
95,9,1,0,0,0,0,0,0,0
96,18,1,0,0,0,0,0,0,0
97,50,1,4,2,1,0,0,1,0
98,6,1,1,0,0,0,0,0,0
99,23,2,1,0,0,0,0,0,0
100,3,1,0,0,0,0,0,1,0
101,9,2,0,0,0,0,0,0,0
102,7,1,0,0,1,0,0,0,0
103,8,1,0,0,0,0,0,2,0
104,8,1,0,0,0,0,0,0,0
105,23,1,0,0,1,0,0,0,0
106,5,1,0,0,1,0,0,1,0
107,6,1,0,0,0,0,0,0,0
108,29,1,0,0,2,0,0,0,0
109,12,1,0,0,0,0,1,0,0
110,7,1,0,0,0,0,0,1,0
111,6,1,0,0,0,0,0,0,0
112,12,1,2,0,0,0,0,0,0
113,33,1,1,0,0,0,0,0,0
114,16,1,0,0,0,0,0,0,0
115,12,1,0,0,0,0,0,0,0
116,10,1,0,0,1,0,0,2,0
117,12,1,0,0,0,0,0,0,0
118,10,1,0,0,0,0,0,0,0
119,43,2,0,1,1,0,0,6,0
120,5,2,0,0,0,0,0,0,0
121,4,1,0,0,0,0,0,0,0
122,2,1,0,0,0,0,0,0,0
123,25,1,0,0,0,0,0,1,0
124,37,2,1,0,0,0,0,0,0
125,12,1,0,0,0,0,0,0,0
126,21,1,0,0,0,0,0,1,0
127,3,1,0,0,0,0,0,0,0
128,3,2,0,0,0,0,0,1,0
129,7,1,0,0,0,0,0,0,0
130,5,1,0,0,0,0,0,0,0
131,25,2,0,1,0,0,0,0,0
132,3,1,0,0,0,0,0,0,0
133,12,2,2,0,0,0,0,0,0
134,5,1,1,0,1,0,0,0,0
135,7,1,0,0,0,0,0,0,0
136,42,3,1,1,0,0,0,4,0
137,46,1,0,0,0,0,0,0,2
138,111,1,2,0,0,0,1,0,0
139,31,4,0,0,0,0,0,0,0
140,18,5,0,0,0,0,0,0,0
141,312,4,3,3,1,0,1,7,0
142,10,1,0,0,0,0,0,0,0
143,7,1,0,0,0,0,0,1,0
144,72,1,4,0,0,0,0,0,0
145,45,3,0,0,1,0,0,1,0
146,27,1,1,0,0,0,0,0,0
147,10,1,1,1,0,0,0,0,0
148,7,1,0,0,0,0,0,0,0
149,85,1,3,0,2,0,0,2,0
150,29,1,1,0,1,0,0,3,0
151,14,1,0,0,0,0,0,0,0
152,45,3,2,0,0,0,0,3,0
153,28,3,0,1,0,0,1,0,0
154,47,2,2,1,1,0,0,2,0
155,35,1,0,0,0,0,0,1,0
156,26,1,0,0,0,0,0,1,0
157,52,1,0,0,0,0,0,1,0
158,31,1,0,0,0,0,0,0,0
159,83,1,0,0,1,0,0,3,0
160,10,1,1,1,0,0,0,0,0
