文档序号,情感强度
1,3
2,0
3,4
4,4
5,1
6,2
7,5
8,0
9,2
10,2
11,0
12,0
13,2
14,1
15,2
16,1
17,5
18,0
19,1
20,2
21,2
22,2
23,1
24,1
25,0
26,0
27,3
28,1
29,1
30,0
31,1
32,2
33,0
34,5
35,1
36,2
37,2
38,2
39,1
40,0
41,1
42,1
43,2
44,0
45,3
46,0
47,2
48,0
49,1
50,0
51,1
52,1
53,0
54,1
55,0
56,0
57,0
58,6
59,0
60,0
61,0
62,2
63,3
64,1
65,1
66,0
67,1
68,1
69,1
70,1
71,2
72,0
73,0
74,3
75,1
76,0
77,2
78,2
79,0
80,0
81,1
82,0
83,4
84,1
85,4
86,1
87,0
88,1
89,3
90,3
91,0
92,0
93,1
94,3
95,3
96,0
97,1
98,0
99,2
100,1
101,1
102,0
103,1
104,0
105,0
106,0
107,1
108,1
109,0
110,0
111,0
112,1
113,0
114,0
115,1
116,2
117,0
118,1
119,2
120,1
121,0
122,0
123,1
124,2
125,0
126,2
127,1
128,1
129,1
130,1
131,1
132,0
133,1
134,0
135,1
136,1
137,3
138,2
139,0
140,0
141,5
142,1
143,0
144,2
145,3
146,2
147,1
148,2
149,3
150,4
151,2
152,3
153,0
154,2
155,2
156,4
157,2
158,1
159,6
160,0
161,1
162,3
163,3
164,1
165,2
166,6
167,1
168,1
169,3
170,3
171,5
172,4
173,0
174,1
175,3
176,1
177,0
178,1
179,2
180,1
181,0
182,2
183,0
184,0
185,1
186,2
187,1
188,0
189,2
190,1
191,1
192,0
193,2
194,0
195,4
196,2
197,1
198,1
199,5
200,1
201,2
202,1
203,0
204,1
205,1
206,1
207,1
208,0
209,2
210,1
211,2
212,1
213,1
214,2
215,2
216,4
217,1
218,3
219,3
220,1
221,3
222,4
223,1
224,1
225,3
226,2
227,1
228,1
229,0
230,0
231,0
232,2
233,0
234,2
235,3
236,1
237,2
238,1
239,1
240,0
241,4
242,2
243,0
244,4
245,0
246,0
247,1
248,2
249,0
250,4
251,2
252,1
253,0
254,2
255,0
256,0
257,0
258,1
259,0
260,2
261,1
262,0
263,0
264,1
265,0
266,0
267,0
268,2
269,0
270,1
271,0
272,5
273,1
274,1
275,0
276,1
277,0
278,5
279,3
280,0
281,1
282,0
283,2
284,1
285,1
286,0
287,1
288,2
289,3
290,0
291,3
292,1
293,0
294,1
295,6
296,4
297,1
298,1
299,0
300,5
301,1
302,0
303,5
304,3
305,6
306,0
307,2
308,3
309,0
310,1
311,2
312,1
313,0
314,0
315,2
316,0
317,0
318,6
319,0
320,0
321,2
322,1
323,0
324,2
325,0
326,0
327,1
328,1
329,1
330,1
331,4
332,1
333,2
334,0
335,0
336,0
337,3
338,0
339,0
340,2
341,2
342,1
343,4
344,1
345,1
346,0
347,6
348,3
349,0
350,1
351,3
352,0
353,1
354,0
355,0
356,2
357,1
358,0
359,1
360,0
361,1
362,3
363,2
364,3
365,0
366,1
367,2
368,1
369,1
370,0
371,1
372,0
373,2
374,1
375,2
376,1
377,2
378,0
379,4
380,2
381,1
382,2
383,1
384,2
385,2
386,1
387,0
388,3
389,2
390,1
391,3
392,2
393,3
394,0
395,0
396,0
397,5
398,0
399,0
400,0
401,1
402,0
403,3
404,4
405,2
406,3
407,0
408,0
409,1
410,1
411,2
412,3
413,3
414,0
415,3
416,6
417,4
418,0
419,2
420,0
421,0
422,3
423,1
424,3
425,0
426,2
427,3
428,0
429,2
430,4
431,1
432,0
433,3
434,0
435,3
436,2
437,1
438,2
439,0
440,0
441,3
442,2
443,2
444,3
445,0
446,2
447,0
448,1
449,1
450,0
451,1
452,2
453,0
454,4
455,2
456,3
457,0
458,3
459,1
460,1
461,3
462,2
463,0
464,1
465,2
466,2
467,0
468,1
469,2
470,2
471,1
472,9
473,0
474,3
475,5
476,0
477,1
478,1
479,0
480,6
481,0
482,4
483,12
484,3
485,1
486,0
487,1
488,4
489,1
490,1
491,4
492,0
493,1
494,0
495,5
496,7
497,2
498,13
499,0
500,2
501,2
502,0
503,2
504,0
505,0
506,0
507,1
508,2
509,4
510,0
511,3
512,2
513,2
514,2
515,0
516,0
517,6
518,2
519,1
520,2
521,4
522,1
523,5
524,0
525,1
526,3
527,4
528,1
529,2
530,0
531,7
532,4
533,0
534,0
535,0
536,1
537,2
538,0
539,1
540,5
541,4
542,2
543,0
544,3
545,1
546,3
547,3
548,1
549,2
550,3
551,0
552,1
553,0
554,2
555,5
556,0
557,0
558,3
559,1
560,3
561,2
562,2
563,2
564,2
565,1
566,1
567,1
568,0
569,0
570,8
571,1
572,2
573,0
574,3
575,0
576,3
577,0
578,2
579,0
580,5
581,3
582,1
583,3
584,0
585,4
586,2
587,4
588,8
589,1
590,1
591,4
592,1
593,2
594,1
595,1
596,4
597,7
598,4
599,1
600,4
601,0
602,4
603,2
604,3
605,1
606,1
607,1
608,0
609,1
610,0
611,1
612,3
613,2
614,1
615,0
616,4
617,1
618,0
619,1
620,1
621,0
622,5
623,1
624,0
625,0
626,3
627,3
628,2
629,0
630,2
631,0
632,2
633,2
634,1
635,1
636,0
637,3
638,2
639,2
640,2
641,1
642,2
643,5
644,0
645,0
646,0
647,0
648,0
649,4
650,4
651,2
652,4
653,2
654,2
655,4
656,0
657,0
658,2
659,0
660,1
661,3
662,2
663,1
664,1
665,0
666,1
667,2
668,0
669,1
670,0
671,1
672,4
673,2
674,0
675,2
676,0
677,1
678,5
679,7
680,1
681,2
682,0
683,0
684,0
685,7
686,1
687,0
688,0
689,2
690,2
691,0
692,3
693,0
694,3
695,0
696,0
697,0
698,0
699,5
700,1
701,1
702,3
703,2
704,1
705,2
706,3
707,2
708,0
709,1
710,1
711,6
712,3
713,0
714,0
715,0
716,2
717,4
718,5
719,0
720,3
721,5
722,1
723,1
724,2
725,1
726,3
727,0
728,5
729,2
730,4
731,0
732,0
733,0
734,2
735,0
736,0
737,6
738,0
739,0
740,0
741,2
742,2
743,0
744,0
745,4
746,4
747,0
748,1
749,0
750,4
751,1
752,0
753,1
754,2
755,4
756,0
757,4
758,2
759,0
760,1
761,3
762,3
763,4
764,1
765,1
766,2
767,1
768,2
769,6
770,2
771,3
772,3
773,1
774,0
775,1
776,2
777,1
778,0
779,0
780,0
781,0
782,0
783,3
784,5
785,4
786,4
787,1
788,2
789,1
790,0
791,0
792,1
793,2
794,1
795,3
796,1
797,1
798,1
799,2
800,1
801,3
802,6
803,0
804,0
805,0
806,1
807,1
808,2
809,3
810,0
811,2
812,3
813,4
814,3
815,6
816,4
817,1
818,2
819,2
820,4
821,3
822,4
823,0
824,4
825,0
826,5
827,1
828,0
829,0
830,1
831,0
832,1
833,5
834,1
835,0
836,1
837,2
838,3
839,5
840,1
841,1
842,2
843,0
844,1
845,0
846,0
847,3
848,1
849,2
850,4
851,3
852,5
853,3
854,0
855,1
856,1
857,3
858,1
859,0
860,1
861,3
862,0
863,3
864,2
865,0
866,4
867,1
868,2
869,0
870,0
871,1
872,1
873,1
874,2
875,1
876,3
877,0
878,0
879,2
880,0
881,1
882,2
883,3
884,4
885,0
886,2
887,2
888,2
889,3
890,2
891,1
892,1
893,2
894,0
895,2
896,5
897,2
898,1
899,0
900,1
901,0
902,1
903,0
904,5
905,2
906,0
907,1
908,1
909,2
910,1
911,2
912,1
913,2
914,0
915,0
916,0
917,2
918,2
919,0
920,6
921,2
922,0
923,2
924,3
925,0
926,2
927,3
928,4
929,1
930,1
931,1
932,1
933,1
934,2
935,1
936,2
937,1
938,0
939,1
940,5
941,0
942,0
943,0
944,1
945,0
946,2
947,5
948,1
949,0
950,1
951,1
952,1
953,1
954,2
955,2
956,1
957,3
958,1
959,2
960,4
961,1
962,2
963,2
964,1
965,0
966,2
967,0
968,2
969,1
970,1
971,4
972,3
973,0
974,1
975,4
976,2
977,2
978,6
979,2
980,1
981,3
982,2
983,7
984,5
985,1
986,1
987,2
988,1
989,1
990,0
991,0
992,2
993,3
994,0
995,2
996,0
997,0
998,4
999,1
1000,0
1001,3
1002,2
1003,3
1004,2
1005,2
1006,0
1007,0
1008,4
1009,3
1010,1
1011,1
1012,0
1013,1
1014,3
1015,1
1016,2
1017,2
1018,6
1019,5
1020,0
1021,2
1022,1
1023,2
1024,2
1025,4
1026,1
1027,2
1028,2
1029,1
1030,0
1031,3
1032,2
1033,2
1034,1
1035,0
1036,2
1037,1
1038,1
1039,4
1040,5
1041,4
1042,1
1043,3
1044,1
1045,1
1046,1
1047,0
1048,2
1049,0
1050,0
1051,2
1052,0
1053,0
1054,3
1055,3
1056,2
1057,0
1058,0
1059,1
1060,0
1061,0
1062,2
1063,2
1064,2
1065,2
1066,2
1067,3
1068,1
1069,0
1070,0
1071,2
1072,0
1073,1
1074,0
1075,5
1076,0
1077,0
1078,3
1079,3
1080,0
1081,0
1082,1
1083,0
1084,1
1085,1
1086,0
1087,2
1088,0
1089,0
1090,0
1091,2
1092,2
1093,2
1094,1
1095,0
1096,4
1097,0
1098,1
1099,1
1100,1
1101,0
1102,0
1103,2
1104,2
1105,3
1106,0
1107,5
1108,8
1109,4
1110,2
1111,1
1112,2
1113,1
1114,0
1115,0
1116,0
1117,1
1118,3
1119,0
1120,2
1121,7
1122,8
1123,3
1124,5
1125,3
1126,2
1127,1
1128,2
1129,3
1130,2
1131,2
1132,2
1133,5
1134,0
1135,0
1136,1
1137,0
1138,1
1139,0
1140,0
1141,0
1142,2
1143,2
1144,1
1145,2
1146,3
1147,2
1148,1
1149,2
1150,4
1151,4
1152,2
1153,2
1154,1
1155,3
1156,0
1157,1
1158,1
1159,3
1160,4
1161,2
1162,0
1163,0
1164,2
1165,1
1166,2
1167,1
1168,5
1169,5
1170,3
1171,6
1172,0
1173,3
1174,2
1175,0
1176,1
1177,0
1178,0
1179,1
1180,3
1181,2
1182,0
1183,3
1184,1
1185,1
1186,1
1187,3
1188,1
1189,0
1190,1
1191,2
1192,2
1193,1
1194,3
1195,2
1196,0
1197,1
1198,1
1199,2
1200,2
1201,3
1202,2
1203,1
1204,0
1205,1
1206,3
1207,3
1208,2
1209,4
1210,1
1211,0
1212,1
1213,1
1214,1
1215,2
1216,3
1217,1
1218,0
1219,0
1220,0
1221,3
1222,0
1223,1
1224,3
1225,2
1226,0
1227,1
1228,0
1229,1
1230,2
1231,1
1232,0
1233,0
1234,2
1235,2
1236,0
1237,1
1238,1
1239,1
1240,2
1241,0
1242,1
1243,2
1244,1
1245,1
1246,2
1247,1
1248,4
1249,2
1250,0
1251,0
1252,8
1253,1
1254,5
1255,4
1256,2
1257,3
1258,0
1259,2
1260,0
1261,2
1262,0
1263,1
1264,4
1265,2
1266,7
1267,2
1268,0
1269,4
1270,1
1271,1
1272,0
1273,0
