来源_抑郁症超话,来源_焦虑症超话,转发,评论,点赞
True,False,0.0,0.013,0.0
True,False,0.0,0.0,0.0
True,False,0.0,0.0163,0.0
True,False,0.0,0.0033,0.0002
True,False,0.0,0.0,0.0
True,False,0.0,0.0,0.0
True,False,0.0,0.0,0.0
True,False,0.0,0.0065,0.0
True,False,0.0,0.0,0.0002
True,False,0.0,0.0,0.0002
True,False,0.0,0.0033,0.0002
True,False,0.0,0.0,0.0
True,False,0.0,0.0065,0.0002
True,False,0.0,0.0,0.0
True,False,0.0,0.0,0.0002
True,False,0.0,0.0,0.0
True,False,0.0,0.0,0.0004
True,False,0.0,0.0,0.0
True,False,0.0,0.0,0.0
True,False,0.0,0.0033,0.0
True,False,0.0,0.0,0.0
True,False,0.0,0.0033,0.0
True,False,0.0,0.0,0.0
True,False,0.0,0.0,0.0
True,False,0.0,0.0,0.0
True,False,0.0,0.0,0.0002
True,False,0.0,0.0,0.0
True,False,0.0,0.0098,0.0
True,False,0.0,0.0,0.0
True,False,0.0,0.0,0.0
True,False,0.0,0.0065,0.0
True,False,0.0,0.0195,0.0
True,False,0.0,0.0326,0.0
True,False,0.0,0.0,0.0
True,False,0.0,0.0,0.0
True,False,0.0,0.0,0.0
True,False,0.0,0.0,0.0
True,False,0.0,0.0,0.0
True,False,0.0,0.0,0.0
True,False,0.0,0.0,0.0
True,False,0.0,0.0,0.0
True,False,0.0,0.0228,0.0
True,False,0.0,0.0,0.0
True,False,0.0,0.0065,0.0
True,False,0.0,0.0,0.0
True,False,0.0,0.0033,0.0002
True,False,0.0,0.0,0.0002
True,False,0.0,0.0,0.0
True,False,0.0,0.0,0.0
True,False,0.0,0.0033,0.0
True,False,0.0,0.0195,0.0
True,False,0.0,0.0,0.0004
True,False,0.0,0.0,0.0
True,False,0.0,0.0,0.0
True,False,0.0,0.0033,0.0
True,False,0.0,0.0977,0.0052
True,False,0.0,0.0065,0.0
True,False,0.0,0.0,0.0
True,False,0.0,0.0,0.0002
True,False,0.0,0.0,0.0
True,False,0.0,0.0033,0.0
True,False,0.0,0.0,0.0
True,False,0.0,0.0033,0.0
True,False,0.0,0.0,0.0
True,False,0.0,0.0,0.0002
True,False,0.0,0.0,0.0
True,False,0.0,0.0,0.0
True,False,0.0,0.0065,0.0
True,False,0.0,0.0,0.0
True,False,0.0,0.0,0.0
True,False,0.0,0.013,0.0
