来源_抑郁症超话,来源_焦虑症超话,转发,评论,点赞
1,0,0.0,0.013,0.0
1,0,0.0,0.0,0.0
1,0,0.0,0.0163,0.0
1,0,0.0,0.0033,0.0002
1,0,0.0,0.0,0.0
1,0,0.0,0.0,0.0
1,0,0.0,0.0,0.0
1,0,0.0,0.0065,0.0
1,0,0.0,0.0,0.0002
1,0,0.0,0.0,0.0002
1,0,0.0,0.0033,0.0002
1,0,0.0,0.0,0.0
1,0,0.0,0.0065,0.0002
1,0,0.0,0.0,0.0
1,0,0.0,0.0,0.0002
1,0,0.0,0.0,0.0
1,0,0.0,0.0,0.0004
1,0,0.0,0.0,0.0
1,0,0.0,0.0,0.0
1,0,0.0,0.0033,0.0
1,0,0.0,0.0,0.0
1,0,0.0,0.0033,0.0
1,0,0.0,0.0,0.0
1,0,0.0,0.0,0.0
1,0,0.0,0.0,0.0
1,0,0.0,0.0,0.0002
1,0,0.0,0.0,0.0
1,0,0.0,0.0098,0.0
1,0,0.0,0.0,0.0
1,0,0.0,0.0,0.0
1,0,0.0,0.0065,0.0
1,0,0.0,0.0195,0.0
1,0,0.0,0.0326,0.0
1,0,0.0,0.0,0.0
1,0,0.0,0.0,0.0
1,0,0.0,0.0,0.0
1,0,0.0,0.0,0.0
1,0,0.0,0.0,0.0
1,0,0.0,0.0,0.0
1,0,0.0,0.0,0.0
1,0,0.0,0.0,0.0
1,0,0.0,0.0228,0.0
1,0,0.0,0.0,0.0
1,0,0.0,0.0065,0.0
1,0,0.0,0.0,0.0
1,0,0.0,0.0033,0.0002
1,0,0.0,0.0,0.0002
1,0,0.0,0.0,0.0
1,0,0.0,0.0,0.0
1,0,0.0,0.0033,0.0
1,0,0.0,0.0195,0.0
1,0,0.0,0.0,0.0004
1,0,0.0,0.0,0.0
1,0,0.0,0.0,0.0
1,0,0.0,0.0033,0.0
1,0,0.0,0.0977,0.0052
1,0,0.0,0.0065,0.0
1,0,0.0,0.0,0.0
1,0,0.0,0.0,0.0002
1,0,0.0,0.0,0.0
1,0,0.0,0.0033,0.0
1,0,0.0,0.0,0.0
1,0,0.0,0.0033,0.0
1,0,0.0,0.0,0.0
1,0,0.0,0.0,0.0002
1,0,0.0,0.0,0.0
1,0,0.0,0.0,0.0
1,0,0.0,0.0065,0.0
1,0,0.0,0.0,0.0
1,0,0.0,0.0,0.0
1,0,0.0,0.013,0.0
1,0,0.0,0.0098,0.0
1,0,0.0,0.0065,0.0
1,0,0.0,0.0,0.0
1,0,0.0,0.0033,0.0
1,0,0.0,0.0033,0.0004
1,0,0.0,0.0,0.0
1,0,0.0,0.0,0.0002
1,0,0.0,0.0,0.0
1,0,0.0,0.0,0.0
1,0,0.0,0.0033,0.0
1,0,0.0,0.013,0.0004
1,0,0.0,0.0,0.0
1,0,0.0,0.0,0.0
1,0,0.0,0.0098,0.0002
1,0,0.0,0.0163,0.0012
1,0,0.0,0.0065,0.0002
1,0,0.0,0.0293,0.0006
1,0,0.0,0.0098,0.0004
1,0,0.0,0.0033,0.0
1,0,0.0,0.0098,0.0
1,0,0.0,0.0065,0.0
1,0,0.0,0.0,0.0
1,0,0.0,0.0,0.0004
1,0,0.0,0.0098,0.0
1,0,0.0,0.0098,0.0
1,0,0.0,0.013,0.0002
1,0,0.0,0.0,0.0002
1,0,0.0,0.0293,0.0002
1,0,0.0,0.013,0.0
1,0,0.0,0.0,0.0
1,0,0.0,0.0033,0.0
1,0,0.0,0.0,0.0
1,0,0.0,0.0065,0.0002
1,0,0.0,0.013,0.0002
1,0,0.0,0.0065,0.0
1,0,0.0,0.0033,0.0002
1,0,0.0,0.0293,0.0
1,0,0.0,0.0,0.0
1,0,0.0,0.0,0.0
1,0,0.0,0.0,0.0
1,0,0.0,0.0195,0.0
1,0,0.0,0.0,0.0
1,0,0.0,0.0,0.0002
1,0,0.0,0.0033,0.0002
1,0,0.0,0.0033,0.0
1,0,0.0,0.0,0.0
1,0,0.0,0.0033,0.0
1,0,0.0,0.0293,0.0006
1,0,0.0,0.0,0.0006
1,0,0.0,0.0033,0.0
1,0,0.0,0.0,0.0
1,0,0.0,0.0,0.0
1,0,0.0,0.0033,0.0004
1,0,0.0,0.0,0.0
1,0,0.0,0.0,0.0
1,0,0.0,0.0,0.0
1,0,0.0,0.0065,0.0
1,0,0.0,0.0326,0.0002
1,0,0.0,0.0,0.0002
1,0,0.0,0.0098,0.0006
1,0,0.0,0.0,0.0
1,0,0.0,0.0033,0.0
1,0,0.0,0.0065,0.0008
1,0,0.0,0.0,0.0
1,0,0.0,0.0,0.0
1,0,0.0,0.0065,0.0
1,0,0.0,0.0033,0.0
1,0,0.0,0.0033,0.0002
1,0,0.0,0.0,0.0
1,0,0.0,0.0228,0.0
1,0,0.0,0.0033,0.0
1,0,0.0,0.0033,0.0
1,0,0.0,0.0,0.0
1,0,0.0,0.0033,0.0002
1,0,0.0,0.0065,0.0
1,0,0.0,0.0326,0.0008
1,0,0.0,0.0261,0.0
1,0,0.0,0.0,0.0
1,0,0.0,0.0065,0.0002
1,0,0.0,0.0065,0.0002
1,0,0.0,0.0,0.0
1,0,0.0,0.0,0.0002
1,0,0.0,0.0228,0.0
1,0,0.0,0.0,0.0
1,0,0.0,0.0065,0.0
1,0,0.0,0.0,0.0
1,0,0.0,0.0,0.0
1,0,0.0,0.0,0.0
1,0,0.0,0.0065,0.0006
1,0,0.0,0.0,0.0
1,0,0.0,0.0,0.0
1,0,0.0,0.0,0.0
1,0,0.0,0.0098,0.0
1,0,0.0,0.0,0.0
1,0,0.0,0.0098,0.0014
1,0,0.0,0.0,0.0
1,0,0.0,0.0098,0.0
1,0,0.0,0.0065,0.0
1,0,0.0,0.0098,0.0002
1,0,0.0,0.0,0.0
1,0,0.0,0.0065,0.0
1,0,0.0,0.0033,0.0
1,0,0.0,0.0033,0.0
1,0,0.0,0.0033,0.0
1,0,0.0,0.0,0.0
1,0,0.0,0.0,0.0
1,0,0.0,0.013,0.0004
1,0,0.0,0.0033,0.0
1,0,0.0,0.0,0.0
1,0,0.0,0.0033,0.0
1,0,0.0,0.0,0.0
1,0,0.0,0.0,0.0
1,0,0.0,0.0,0.0
1,0,0.0,0.0,0.0
1,0,0.0,0.0,0.0
1,0,0.0,0.0033,0.0002
1,0,0.0,0.0,0.0
1,0,0.0,0.0065,0.0002
1,0,0.0,0.0,0.0
1,0,0.0,0.0,0.0
1,0,0.0,0.0,0.0
1,0,0.0,0.0,0.0
1,0,0.0,0.0065,0.0
1,0,0.0,0.0,0.0
1,0,0.0,0.0,0.0
1,0,0.0,0.0098,0.0
1,0,0.0,0.0098,0.0
1,0,0.0,0.0033,0.0002
1,0,0.0,0.013,0.0
1,0,0.0,0.0098,0.0
1,0,0.0,0.0033,0.0
1,0,0.0,0.0423,0.0034
1,0,0.0,0.0,0.0
1,0,0.0,0.0261,0.0008
1,0,0.0,0.0033,0.0
1,0,0.0,0.013,0.0004
1,0,0.0,0.013,0.0004
1,0,0.0,0.0033,0.0002
1,0,0.0,0.013,0.0008
1,0,0.0,0.0228,0.0016
1,0,0.0,0.0098,0.0
1,0,0.0,0.0098,0.0004
1,0,0.0,0.0,0.0002
1,0,0.0,0.0195,0.0002
1,0,0.0,0.0,0.0
1,0,0.0,0.0065,0.0
1,0,0.0,0.0,0.0
1,0,0.0,0.0,0.0004
1,0,0.0,0.0,0.0
1,0,0.0,0.0033,0.0
1,0,0.0,0.0,0.0002
1,0,0.0,0.0,0.0
1,0,0.0,0.0,0.0
1,0,0.0,0.0,0.0
1,0,0.0,0.0,0.0
1,0,0.0,0.0,0.0
1,0,0.0,0.0098,0.0004
